Name,Price
APPLE iPhone SE (Red| 128 GB),34999
APPLE iPhone 13 (Midnight| 128 GB),74900
APPLE iPhone 13 (Starlight| 128 GB),74900
APPLE iPhone SE (Black| 64 GB),30299
APPLE iPhone SE (Red| 64 GB),30299
APPLE iPhone 13 (Blue| 128 GB),74900
APPLE iPhone 13 (Green| 128 GB),74900
APPLE iPhone SE (White| 128 GB),34999
APPLE iPhone SE (Black| 128 GB),34999
APPLE iPhone 11 (Green| 64 GB),49900
APPLE iPhone SE (White| 64 GB),30299
APPLE iPhone 12 Mini (Purple| 256 GB),65299
APPLE iPhone 12 Mini (Black| 256 GB),65299
APPLE iPhone 12 Mini (Blue| 64 GB),49999
APPLE iPhone 12 Mini (Blue| 256 GB),65299
APPLE iPhone 11 (White| 128 GB),54900
APPLE iPhone 13 (Midnight| 256 GB),84900
APPLE iPhone 11 (Black| 128 GB),54900
APPLE iPhone 11 (Green| 128 GB),54900
APPLE iPhone 11 (Purple| 64 GB),49900
APPLE iPhone 13 ((PRODUCT)RED| 256 GB),84900
APPLE iPhone 11 (White| 64 GB),49900
APPLE iPhone 12 Mini (Red| 256 GB),65299
APPLE iPhone 13 Mini (Midnight| 128 GB),64900
